,,,,,,,Expert Ranks,,,,,,Passing,,,Rushing,,,Receiving,,
0,Isaac TeSlaa,DET,WR,6,222,74,220,177,226,,227,217,0,0,0,2.1,9.6,0.1,31.7,389.1,3
0,Jake Bates,DET,K,6,223,132,,,360,,,253,0,0,0,0,0,0,0,0,0
0,Elijah Arroyo,SEA,TE,11,224,49,,,325,,290,,0,0,0,0,0,0,21.9,271.4,1.9
0,Tahj Brooks,CIN,RB,6,225,35,,,274,,272,,0,0,0,42.2,149.3,1.4,6.7,54.6,0.5
1,Calvin Ridley,TEN,WR,9,226,81,187,,176,,184,197,0,0,0,0.7,3.3,0,30.8,459.6,3.2
0,Evan Engram,DEN,TE,10,227,53,247,,246,,213,283,0,0,0,0,0,0,33.6,288.8,1.3
1,Braelon Allen,NYJ,RB,13,228,57,159,150,166,,159,175,0,0,0,70.6,289.9,2.4,7.6,67.7,0.5
0,Tyreek Hill,FA,WR,,229,65,262,,242,,264,306,0,0,0,0.6,3.4,0,27.7,358.6,2.5
0,David Njoku,LAC,TE,7,230,52,246,,253,,240,249,0,0,0,0,0,0,26.3,255.2,2.2
0,Adam Randall,BAL,RB,13,231,31,,,,,304,,0,0,0,33.4,139.4,1.1,6.4,49.2,0.4
1,Zachariah Branch,ATL,WR,11,232,77,213,176,192,,231,233,0,0,0,0,0,0,36.5,382.6,2.4
1,Malik Washington,MIA,WR,6,233,104,197,173,181,,204,222,0,0,0,22.6,119.7,1.2,53.2,438.4,2.4
0,LeQuint Allen,JAX,RB,7,234,39,225,,265,,194,206,0,0,0,19.5,81.3,0.5,18,128.6,1.1
0,Pat Bryant,DEN,WR,10,235,71,166,156,186,,141,190,0,0,0,1.5,6.6,0.1,34.5,401.9,2
0,Will Reichard,MIN,K,6,236,132,,,361,,,260,0,0,0,0,0,0,0,0,0
1,Ty Johnson,BUF,RB,7,237,59,,,260,,200,,0,0,0,40.9,183.4,1.5,16.5,146.6,1.4
1,Najee Harris,NYG,RB,8,238,45,252,,264,,309,178,0,0,0,64.8,259,1.9,5.5,37.2,0.2
1,Jerry Jeudy,CLE,WR,11,239,83,172,182,155,,181,169,0,0,0,1.1,5.3,0,39.1,518.9,1.9
0,Omar Cooper,NYJ,WR,13,240,74,206,189,187,186,221,214,0,0,0,2.9,12.4,0.1,29.6,412.2,2.7
0,Tua Tagovailoa,ATL,QB,11,241,159,182,,228,,189,122,2266.6,16.2,7.1,21.5,62.1,0.7,0,0,0
0,Andrei Iosivas,CIN,WR,6,242,57,267,,281,,253,314,0,0,0,1.6,7.2,0.1,23.5,299.8,2.4
0,Adonai Mitchell,NYJ,WR,13,243,77,174,144,177,,149,220,0,0,0,1,3.4,0,30.1,450.2,2.7
0,Emanuel Wilson,SEA,RB,11,244,30,229,197,262,,178,277,0,0,0,34,150.3,1.1,5,39,0.3
0,Cole Kmet,CHI,TE,10,245,54,,,330,,241,,0,0,0,0,0,0,29.8,281.6,1.9
1,Tre' Harris,LAC,WR,7,246,80,162,172,153,,136,192,0,0,0,2.1,9.5,0.1,40.4,448.4,2.2
0,Tyquan Thornton,KC,WR,5,247,73,216,,175,,254,199,0,0,0,0,0,0,26.5,405.6,3.2
1,Rashod Bateman,BAL,WR,13,248,87,207,,173,,168,258,0,0,0,0.9,4,0,35,474.9,3.6
0,Tyler Loop,BAL,K,13,249,132,,,363,,,241,0,0,0,0,0,0,0,0,0
0,Noah Fant,NO,TE,8,250,42,,,332,,291,,0,0,0,0,0,0,23,213.5,1.6
0,Kimani Vidal,LAC,RB,7,251,31,194,180,161,,198,229,0,0,0,41.9,175.6,0.8,4.9,45.2,0.3
0,Will Kacmarek,MIA,TE,6,252,43,,,331,,,,0,0,0,0,0,0,24,220.5,1.5
0,Tory Horton,SEA,WR,11,253,65,257,,282,,220,287,0,0,0,1,4.3,0,28.8,345.8,2.6
1,Kaelon Black,SF,RB,8,254,43,184,179,144,,195,210,0,0,0,61.1,264.8,1.7,4.2,31.7,0.2
0,Austin Ekeler,FA,RB,,255,22,,,,,,,0,0,0,23.3,100.8,0.8,5.3,38.7,0
0,Joe Royer,CLE,TE,11,256,36,,,362,,,,0,0,0,0,0,0,19.4,184.5,1.3
0,Malachi Fields,NYG,WR,8,257,57,231,,224,,233,232,0,0,0,0.9,4,0,26.4,295.9,2.3
0,Devaughn Vele,NO,WR,8,258,75,214,,189,,169,266,0,0,0,0.9,4,0,37.1,405.7,2.5
0,Oscar Delp,NO,TE,8,259,32,,,337,,295,,0,0,0,0,0,0,17.9,163.2,1.2
0,Keon Coleman,BUF,WR,7,260,55,,,225,,261,,0,0,0,0.7,3.2,0,21.7,291.5,2.4
0,Caleb Douglas,MIA,WR,6,261,76,185,169,182,,148,235,0,0,0,0,0,0,34.4,427.1,2.7
0,Chase McLaughlin,TB,K,10,262,130,,,364,,,236,0,0,0,0,0,0,0,0,0
0,Austin Hooper,ATL,TE,11,263,39,,,333,,,,0,0,0,0,0,0,20.7,200.9,1.4
0,Kareem Hunt,FA,RB,,264,20,,,,,,,0,0,0,27.2,113,0.8,2.5,17.2,0
0,Nick Chubb,FA,RB,,265,19,,,,,,,0,0,0,25.6,106.5,0.8,3.3,20.3,0
1,Keenan Allen,IND,WR,13,266,79,196,175,183,,223,,0,0,0,0,0,0,39.8,430,2.7
0,Kendrick Bourne,ARI,WR,14,267,68,265,,284,,226,318,0,0,0,0,0,0,32.9,395.3,2
0,Travis Hunter,JAX,WR,7,268,63,205,171,158,,250,218,0,0,0,2.7,11.4,0.1,30.2,326.9,2.2
0,Elijah Sarratt,BAL,WR,13,269,53,256,,234,,252,301,0,0,0,1,4.5,0,23.4,280.6,2.1
0,Antonio Williams,WAS,WR,7,270,59,198,181,217,,167,216,0,0,0,1.7,9,0.1,28.1,308.3,2.2
0,Rasheen Ali,BAL,RB,13,271,18,,,267,,,,0,0,0,11.6,43.3,0.4,6.3,56.1,0.5
0,Dontayvion Wicks,PHI,WR,10,272,72,203,,178,,183,230,0,0,0,0.8,3.5,0,31.8,375.2,3
0,Trevor Etienne,CAR,RB,5,273,23,266,,272,,270,294,0,0,0,27.3,124.1,0.5,4.9,33.2,0.3
0,Chris Bell,MIA,WR,6,274,59,255,,180,,280,298,0,0,0,0.8,3.7,0,28.4,322.8,2.1
0,Chris Boswell,PIT,K,9,275,129,,,365,,,225,0,0,0,0,0,0,0,0,0
0,DeMario Douglas,NE,WR,11,276,62,,,237,,277,,0,0,0,6.5,27.9,0.2,29.6,335,1.6
0,Hunter Luepke,DAL,FB,14,277,27,,,,,310,,0,0,0,13.9,59.5,0.4,11.2,86.9,0.7
0,Raheem Mostert,FA,RB,,278,14,,,,,,,0,0,0,16.7,74.6,0.2,4.5,31.6,0
0,Brock Wright,DET,TE,6,279,36,,,,,,,0,0,0,0,0,0,19.7,175.5,1.4
0,Malik Benson,LV,WR,13,280,42,,,,,,259,0,0,0,1.2,5.3,0,20.2,221.6,1.6
0,Trey Benson,FA,RB,,281,25,261,,268,,267,273,0,0,0,24,111.4,0.4,6.9,52.7,0.4
0,Will Shipley,PHI,RB,10,282,21,274,,269,,305,322,0,0,0,16.9,46.8,0.4,8.2,64.9,0.5
0,Jawhar Jordan,HOU,RB,8,283,29,,,,,,271,0,0,0,42.6,188.3,0.8,3.3,22.5,0.2
0,Jaylin Noel,HOU,WR,8,284,64,186,,184,,180,188,0,0,0,6.6,24.8,0.2,27.5,316.5,2.4
0,Cyrus Allen,KC,WR,5,285,52,167,159,174,103,249,157,0,0,0,0,0,0,23.7,291.5,1.9
0,Jake Tonges,SF,TE,8,286,35,264,,327,,215,281,0,0,0,0,0,0,17.1,173,1.5
0,Eli Raridon,NE,TE,11,287,29,,,338,,,,0,0,0,0,0,0,15.5,148.5,1
0,Eddy Pineiro,SF,K,8,288,128,,,366,,,255,0,0,0,0,0,0,0,0,0
0,Ted Hurst,TB,WR,10,289,54,215,188,188,,232,227,0,0,0,1.4,6.3,0.1,23.3,288.5,2.1
0,Xavier Legette,CAR,WR,5,290,59,273,,295,,285,302,0,0,0,1.1,4.6,0,26.6,294.3,2.5
0,Kaleb Johnson,PIT,RB,9,291,27,,,271,,271,,0,0,0,40.4,147,1.2,3.1,25.8,0.2
0,Brashard Smith,KC,RB,5,292,17,,,277,,306,,0,0,0,21.2,78.5,0.4,4.3,37.1,0.2
0,Troy Franklin,DEN,WR,10,293,57,242,187,244,,229,311,0,0,0,3.8,15.4,0.1,24.7,271.3,2.5
0,Darnell Mooney,NYG,WR,8,294,54,239,,216,,228,269,0,0,0,0.9,4.1,0,23.6,324.5,1.6
0,Ja'Kobi Lane,BAL,WR,13,295,50,171,170,185,159,150,189,0,0,0,0.2,0.9,0,20.9,283,1.9
0,Kendre Miller,NO,RB,8,296,17,,,,,,274,0,0,0,19.5,77.5,0.6,3.2,24.1,0.2
0,KaVontae Turpin,DAL,WR,14,297,61,,,289,,275,,0,0,0,16.1,88.9,0.6,18.5,240.7,1.5
0,Cooper Kupp,SEA,WR,11,298,72,235,,190,,206,303,0,0,0,0,0,0,33.3,393.2,2.7
0,Erick All,CIN,TE,6,299,34,,,249,,,,0,0,0,0,0,0,18.3,168.4,1.3
0,Darius Slayton,NYG,WR,8,300,56,244,,215,,255,268,0,0,0,0,0,0,25.5,344.5,1.4
0,Cairo Santos,CHI,K,10,301,127,,,367,,,292,0,0,0,0,0,0,0,0,0
0,Sione Vaki,DET,RB,6,302,16,,,,,,,0,0,0,18.2,73.8,0.6,3.1,24.4,0.2
0,Kyle Juszczyk,SF,FB,8,303,24,,,,,,,0,0,0,2.3,9.3,0.1,12.5,106.6,0.9
0,Brandon Aiyuk,SF,WR,8,304,32,,,241,,303,,0,0,0,0.5,2.4,0,14.5,171.8,1.2
0,Audric Estime,NO,RB,8,305,17,,,273,,,,0,0,0,19.8,84.1,0.5,3.4,26,0.2
0,Elijah Higgins,ARI,TE,14,306,37,,,336,,,,0,0,0,0,0,0,20.7,188.6,1.2
0,Shedeur Sanders,CLE,QB,11,307,107,193,,229,,237,110,1441.9,9.7,8,17.3,134.6,0.8,0,0,0
0,Luke Musgrave,GB,TE,11,308,36,,,334,,292,,0,0,0,0,0,0,20.7,197.6,1
0,Dylan Laube,LV,RB,13,309,13,,,,,,,0,0,0,13,40.3,0.4,3.8,29.1,0.2
0,Daniel Bellinger,TEN,TE,9,310,36,,,335,,,,0,0,0,0,0,0,18.6,195.4,1.2
0,Max Klare,LAR,TE,11,311,22,,,328,,294,,0,0,0,0,0,0,11.5,115.6,0.8
0,Jam Miller,NE,RB,11,312,11,,,,,,,0,0,0,13.8,57.3,0.5,1.6,12.8,0.1
0,Roschon Johnson,CHI,RB,10,313,6,,,,,,,0,0,0,6.7,26.6,0.3,0.9,6.2,0
0,Wil Lutz,DEN,K,10,314,127,,,,,,284,0,0,0,0,0,0,0,0,0
0,Marvin Mims,DEN,WR,10,315,52,,,286,,262,,0,0,0,7.2,32.8,0.3,20.6,222.3,1.4
0,Chimere Dike,TEN,WR,9,316,53,259,,285,,258,257,0,0,0,7.2,25,0.2,22.7,222,1.7
0,Zach Ertz,FA,TE,,317,19,,,,,,307,0,0,0,0,0,0,10.2,100.7,0.7
0,Zavion Thomas,CHI,WR,10,318,42,263,,290,,257,267,0,0,0,2.4,11.1,0.1,19.5,215.1,1.5
0,Dean Connors,LAR,RB,11,319,7,,,,,,,0,0,0,4.9,20.6,0.1,2.5,19.9,0.2
0,Tommy Tremble,CAR,TE,5,320,28,,,,,,,0,0,0,0,0,0,15.4,134.6,1.2
0,J'Mari Taylor,JAX,RB,7,321,9,,,,,,,0,0,0,4.3,18.2,0.1,3.7,29.1,0.2
0,Ty Chandler,NO,RB,8,322,13,,,,,,,0,0,0,7.8,28.8,0.2,5.8,41.9,0.3
0,Isaiah Bond,CLE,WR,11,323,33,,,309,,,,0,0,0,2.8,13.2,0.1,10.8,171.5,1.4
0,Desmond Reid,FA,RB,,324,12,,,,,,,0,0,0,12.3,52.2,0.4,2.6,19.1,0.1
0,Cade Stover,HOU,TE,8,325,30,,,342,,,,0,0,0,2.1,8.3,0.1,15.9,139.7,1.1
0,Devin Singletary,NYG,RB,8,326,13,,,275,,,,0,0,0,16.7,69,0.5,2.1,14.8,0.1
0,Harrison Butker,KC,K,5,327,127,,,,,,280,0,0,0,0,0,0,0,0,0
0,Phil Mafah,DAL,RB,14,328,15,,,263,,,323,33.5,0.2,0.1,12.9,53.9,0.6,2.2,16.3,0.1
0,Devin Neal,NO,RB,8,329,6,,,266,,273,,0,0,0,5.8,21.8,0.2,1.8,13.6,0.1
0,Jahan Dotson,ATL,WR,11,330,50,260,,239,,256,308,0,0,0,1.6,6.8,0.1,20.9,252,2.1
0,Ben Sinnott,WAS,TE,7,331,20,,,347,,,,0,0,0,0,0,0,11.6,99.6,0.8
0,Xavier Hutchinson,HOU,WR,8,332,53,,,,,281,234,0,0,0,1.2,6.7,0,22.5,278.8,2.1
0,Olamide Zaccheaus,ATL,WR,11,333,50,269,,283,,263,316,0,0,0,3.6,17.5,0.1,23.8,244.2,1.8
0,Josh Oliver,MIN,TE,6,334,30,,,,,,,0,0,0,0,0,0,15.8,157.7,1.1
0,Will Dissly,FA,TE,,335,17,,,,,,,0,0,0,0,0,0,8.8,81.7,0.8
0,Deshaun Watson,CLE,QB,11,336,115,212,,230,,230,164,1674.1,9.9,6.1,21.9,99,0.8,0,0,0
0,Joe Mixon,FA,RB,,337,11,,,,,,,0,0,0,15.8,62.1,0.5,2.3,14,0
0,Luke Schoonmaker,DAL,TE,14,338,24,,,343,,,,0,0,0,0,0,0,12.8,121.2,0.9
0,John Metchie,CAR,WR,5,339,43,,,297,,,,0,0,0,2.8,9.9,0.1,22.6,213.1,1.5
0,Tyler Bass,BUF,K,7,340,127,,,,,,264,0,0,0,0,0,0,0,0,0
0,Jackson Hawes,BUF,TE,7,341,28,,,341,,,,0,0,0,0,0,0,14.8,143.7,1
0,Raheim Sanders,CLE,RB,11,342,9,,,278,,,,0,0,0,15.1,57.6,0.3,1,7.3,0.1
0,Roman Wilson,PIT,WR,9,343,29,,,318,,222,,0,0,0,0,0,0,13.1,152.7,1.1
0,Tyler Higbee,LAR,TE,11,344,27,,,340,,,,0,0,0,0,0,0,13.2,137.9,1.1
0,Marlin Klein,HOU,TE,8,345,24,,,,,,,0,0,0,0,0,0,13.5,117.6,0.9
0,John Bates,WAS,TE,7,346,26,,,,,,,0,0,0,0,0,0,13.7,133.9,1
0,Taysom Hill,FA,TE,,347,10,,,,,,,0,0,0,6.8,38.3,0.4,2.7,22.7,0
0,Isaiah Williams,NYJ,WR,13,348,40,,,,,307,,0,0,0,2.9,16.2,0.1,19.2,174.9,0.8
0,Adam Trautman,DEN,TE,10,349,26,,,345,,,,0,0,0,0,0,0,12.2,126.4,1.2
0,Elic Ayomanor,TEN,WR,9,350,43,,,293,,259,,0,0,0,0,0,0,17.7,233.6,1.8
0,Ronnie Rivers,LAR,RB,11,351,7,,,,,,,0,0,0,6.3,26.4,0.2,2.1,15.3,0.1
0,Lan Larison,NE,RB,11,352,6,,,,,,,0,0,0,5.9,26.4,0.2,1.3,10.4,0.1
0,Andy Borregales,NE,K,11,353,125,,,,,,296,0,0,0,0,0,0,0,0,0
0,Alec Ingold,LAC,FB,7,354,10,,,,,,,0,0,0,12.8,46.7,0.4,1.5,12.2,0.1
0,Jaylin Lane,WAS,WR,7,355,40,,,294,,276,,0,0,0,3.4,15.8,0.1,12.3,173.1,1.5
0,Sam Roush,CHI,TE,10,356,23,,,346,,,,0,0,0,0,0,0,12.8,118.9,0.8
0,Connor Heyward,LV,FB,13,357,9,,,,,,,0,0,0,1.6,7,0.1,4.6,39.7,0.2
0,Antonio Gibson,FA,RB,,358,3,,,,,,,0,0,0,4.6,20.3,0.1,0.7,5.2,0
0,Jaydn Ott,KC,RB,5,359,9,,,,,,,0,0,0,9.7,40.7,0.3,2.2,17.7,0.1
0,Tank Dell,HOU,WR,8,360,39,208,190,194,,170,245,0,0,0,3.4,15.3,0.1,16.9,195.9,1.4
0,Drew Sample,CIN,TE,6,361,23,,,,,,,0,0,0,0,0,0,13,113.8,0.9
0,Jeremy McNichols,WAS,RB,7,362,5,,,,,,,0,0,0,4.5,20.2,0.2,1.3,9.6,0.1
0,Grant Calcaterra,PHI,TE,10,363,14,,,344,,,,0,0,0,0,0,0,7.5,74.5,0.5
0,Cam Akers,FA,RB,,364,3,,,,,,,0,0,0,4.3,19.8,0,0.7,4.8,0
0,Matthew Hibner,BAL,TE,13,365,22,,,,,300,,0,0,0,0,0,0,11.1,112.9,0.9
0,Nick Folk,ATL,K,11,366,123,,,,,,,0,0,0,0,0,0,0,0,0
0,Colbie Young,CIN,WR,6,367,29,,,313,,287,,0,0,0,1.2,5.2,0,13.5,146.9,1.1
0,Tanner Koziol,JAX,TE,7,368,12,,,,,,,0,0,0,0,0,0,6,60.3,0.5
0,Hollywood Brown,PHI,WR,10,369,44,271,,296,,288,286,0,0,0,0,0,0,20.2,228.9,1.9
0,Savion Williams,GB,WR,11,370,37,,,300,,278,,0,0,0,5.7,19.9,0.2,18.9,168.9,1.2
0,Michael Trigg,DAL,TE,14,371,13,,,,,,,0,0,0,0,0,0,6.5,66.7,0.5
0,Raleek Brown,FA,RB,,372,7,,,,,,,0,0,0,10.1,42.5,0,2,13.5,0
0,Jack Bech,LV,WR,13,373,30,249,,238,,236,270,0,0,0,0.4,1.9,0,14.4,162.2,1
0,Isaac Guerendo,SF,RB,8,374,4,,,,,,,0,0,0,2.3,11.1,0.1,1.6,12.5,0.1
0,Tyler Badie,DEN,RB,10,375,6,,,,,,,0,0,0,2.7,12.8,0.1,2.5,19.5,0.1
0,Skyler Bell,BUF,WR,7,376,36,270,,288,,260,320,0,0,0,0.9,4.8,0,16.2,176.4,1.5
0,Rahsul Faison,FA,RB,,377,7,,,,,,,0,0,0,10.1,42.5,0,2,12.8,0
0,Lawson Luckie,FA,TE,,378,17,,,,,,,0,0,0,0,0,0,8.8,85.1,0.7
0,Blake Grupe,IND,K,13,379,123,,,,,,299,0,0,0,0,0,0,0,0,0
0,Calvin Austin,NYG,WR,8,380,43,,,302,,282,,0,0,0,2.3,11,0.1,18.2,215.3,1.9
0,Ameer Abdullah,JAX,RB,7,381,5,,,,,,,0,0,0,3.5,15.3,0.1,1.7,12.6,0.1
0,Tyler Goodson,ATL,RB,11,382,8,,,279,,,,0,0,0,8.3,36.7,0.3,1.5,10.7,0.1
0,Terion Stewart,FA,RB,,383,7,,,,,,,0,0,0,10.1,42.5,0,2,12.8,0
0,Nate Boerkircher,JAX,TE,7,384,15,,,348,,,,0,0,0,0,0,0,8.1,79,0.6
0,Brevyn Spann-Ford,DAL,TE,14,385,12,,,349,,,,0,0,0,0,0,0,6.2,58.5,0.4
0,Jack Endries,CIN,TE,6,386,9,,,,,,,0,0,0,0,0,0,4.8,43.6,0.3
0,Kevin Coleman,MIA,WR,6,387,34,,,299,,298,,0,0,0,0,0,0,17.9,185.7,1.1
0,Dare Ogunbowale,LV,RB,13,388,4,,,,,,,0,0,0,1.8,6.7,0.1,1.5,13.3,0.1
0,Craig Reynolds,WAS,RB,7,389,6,,,,,,,0,0,0,7.8,31.8,0.2,1,8,0.1
0,Julius Chestnut,TEN,RB,9,390,5,,,,,,,0,0,0,4.5,19.8,0.1,1.3,10.2,0.1
0,Jaleel McLaughlin,DEN,RB,10,391,4,,,,,,,0,0,0,3.5,17.2,0.1,1,6.8,0.1
0,Jason Sanders,NYJ,K,13,392,120,,,,,,304,0,0,0,0,0,0,0,0,0
0,Tutu Atwell,MIA,WR,6,393,25,,,298,,279,,0,0,0,1,4.6,0,10.9,148,0.6
0,Greg Dortch,DET,WR,6,394,37,,,303,,284,,0,0,0,3.6,17.2,0.2,18,166.7,1.4
0,Ja'Tavion Sanders,CAR,TE,5,395,12,,,256,,,,0,0,0,0,0,0,7.4,59.4,0.4
0,Chip Trayanum,NYJ,RB,13,396,6,,,,,,,0,0,0,6.7,28.2,0.2,1,7.6,0.1
0,Kalel Mullings,TEN,RB,9,397,4,,,,,,,0,0,0,4,16.5,0.1,1,7.3,0.1
0,Tip Reiman,ARI,TE,14,398,12,,,351,,,,0,0,0,0,0,0,7.3,58.4,0.4
0,Seydou Traore,MIA,TE,6,399,7,,,,,,,0,0,0,0,0,0,3.7,37,0.3
0,Lance Mason,PIT,TE,9,400,9,,,,,,,0,0,0,0,0,0,4.5,43.2,0.3
0,Dameon Pierce,PHI,RB,10,401,3,,,,,,,0,0,0,4.1,16.7,0.1,0.2,1.4,0
0,Riley Nowakowski,PIT,FB,9,402,6,,,,,,,0,0,0,0,0,0,3.2,28.5,0.2
0,Zavier Scott,MIN,RB,6,403,6,,,,,,,0,0,0,8.3,28.2,0.2,1.3,10.2,0.1
0,Jamal Haynes,CIN,RB,6,404,6,,,,,,,0,0,0,5.9,25.1,0.2,1.3,8.9,0.1
0,Charlie Smyth,NO,K,8,405,119,,,,,,,0,0,0,0,0,0,0,0,0
0,Tucker Fisk,FA,TE,,406,7,,,,,,,0,0,0,0,0,0,4.7,41.5,0.1
0,Jarquez Hunter,LAR,RB,11,407,3,,,280,,,291,0,0,0,2,8.9,0.1,1,7.8,0.1
0,Mitchell Evans,CAR,TE,5,408,10,,,339,,,,0,0,0,0,0,0,5.3,53.4,0.4
0,Jeremy Ruckert,NYJ,TE,13,409,11,,,352,,,,0,0,0,0,0,0,6.4,51.2,0.4
0,Mo Alie-Cox,IND,TE,13,410,11,,,350,,,,0,0,0,0,0,0,5.7,58.5,0.4
0,Jacardia Wright,SEA,RB,11,411,4,,,,,,,0,0,0,5.5,24.3,0.2,0.6,4.3,0
0,Jalen Tolbert,MIA,WR,6,412,30,272,,287,,274,310,0,0,0,0,0,0,13.7,165.8,1.2
0,Barion Brown,NO,WR,8,413,31,,,,,,,0,0,0,0,0,0,12.6,127.7,0.9
0,Josh Cuevas,BAL,TE,13,414,11,,,,,,,0,0,0,0,0,0,5.4,53.3,0.4
0,Mitchell Tinsley,CIN,WR,6,415,26,,,,,,,0,0,0,0,0,0,11.6,128.5,1.2
0,Ashton Dulin,IND,WR,13,416,30,,,227,,,285,0,0,0,1.3,8.8,0,13.6,148.5,1.2
0,Durham Smythe,BAL,TE,13,417,10,,,,,,,0,0,0,0,0,0,5.6,55.3,0.3
0,Jake Moody,FA,K,,418,118,,,,,,,0,0,0,0,0,0,0,0,0
0,Michael Carter,TEN,RB,9,419,3,,,,,,,0,0,0,2.8,11.4,0.1,1.3,9.7,0
0,Kalif Raymond,CHI,WR,10,420,32,,,291,,251,,0,0,0,3.1,16.7,0.1,16.8,164.9,0.9
0,Davis Allen,LAR,TE,11,421,10,,,,,,,0,0,0,0,0,0,5.5,48,0.4
0,Zamir White,NO,RB,8,422,3,,,,,,,0,0,0,3.2,10.9,0.1,0.6,4.8,0
0,Foster Moreau,HOU,TE,8,423,10,,,,,,,0,0,0,0,0,0,4.4,47.1,0.5
0,Max Bredeson,MIN,FB,6,424,3,,,,,,,0,0,0,0.7,3.1,0,1.6,12.1,0.1
0,Elijah Mitchell,FA,RB,,425,3,,,,,,,0,0,0,3.5,16.6,0.1,0.5,3.7,0
0,Demarcus Robinson,SF,WR,8,426,26,,,240,,,,0,0,0,0,0,0,10,133.8,1.2
0,Charlie Woerner,ATL,TE,11,427,9,,,,,,,0,0,0,0,0,0,5.4,43.5,0.3
0,Kenny McIntosh,FA,RB,,428,3,,,,,,,0,0,0,1.8,8.6,0.1,1.2,8.6,0.1
0,Deion Burks,IND,WR,13,429,21,,,301,,301,,0,0,0,0,0,0,10.5,107.5,0.8
0,DeeJay Dallas,JAX,RB,7,430,3,,,,,,,0,0,0,4,17.9,0.1,0.2,1.6,0
0,Jake Elliott,PHI,K,10,431,117,,,,,,,0,0,0,0,0,0,0,0,0
0,Michael Penix,ATL,QB,11,432,91,190,,231,,218,123,1487.3,7.1,5.6,14.7,47.8,0.7,0,0,0
0,Luke Farrell,SF,TE,8,433,8,,,,,,,0,0,0,0,0,0,4.7,42.6,0.3
0,Kyle Williams,NE,WR,11,434,27,,,310,,,,0,0,0,0.8,3.5,0,12,131.6,1.2
0,Kirk Cousins,LV,QB,13,435,54,199,,233,,208,145,786,5.4,2.4,7.3,21.3,0.3,0,0,0
0,Payne Durham,TB,TE,10,436,7,,,,,,,0,0,0,0,0,0,3.7,36.7,0.3
0,Nick Westbrook-Ikhine,IND,WR,13,437,29,,,305,,283,,0,0,0,0,0,0,11.5,141.1,1.5
0,Carson Beck,ARI,QB,14,438,34,,,,,235,,563.8,3.2,3.2,2.4,11.7,0.1,0,0,0
0,Hassan Haskins,NE,RB,11,439,2,,,,,,,0,0,0,3.3,10.8,0.1,0.3,2.2,0
0,Devin Culp,TB,TE,10,440,7,,,,,,,0,0,0,0,0,0,3.4,34.5,0.3
0,Damien Martinez,GB,RB,11,441,2,,,,,,321,0,0,0,3,13.2,0.1,0,0,0
0,Tanner Hudson,CIN,TE,6,442,7,,,,,,,0,0,0,0,0,0,4,37.3,0.2
0,KeAndre Lambert-Smith,LAC,WR,7,443,21,,,,,,,0,0,0,0.8,3.8,0,10.1,99.8,0.9
0,Ryan Fitzgerald,CAR,K,5,444,117,,,,,,,0,0,0,0,0,0,0,0,0
0,Mac Jones,SF,QB,8,445,19,,,,,,,312.4,1.7,1.2,2.3,6.6,0.1,0,0,0
0,Gardner Minshew,ARI,QB,14,446,22,,,,,,,367.5,1.9,1.5,2,6.8,0.1,0,0,0
0,Brandin Cooks,FA,WR,,447,19,,,,,,,0,0,0,0,0,0,8.3,106.1,0.8
0,Kene Nwangwu,NYJ,RB,13,448,2,,,,,,,0,0,0,3.1,11.3,0.1,0.2,1.3,0
0,Cade Klubnik,NYJ,QB,13,449,25,,,,,,,443.3,2.2,2.2,0.6,2.9,0,0,0,0
0,Konata Mumpfield,LAR,WR,11,450,32,,,,,302,,0,0,0,0,0,0,15.6,150,1.5
0,Joe Flacco,CIN,QB,6,451,15,,,,,,,233.1,1.5,0.9,2.7,5.7,0.1,0,0,0
0,Noah Thomas,CIN,WR,6,452,11,,,,,,,0,0,0,0,0,0,5.2,57.4,0.5
0,Patrick Ricard,NYG,FB,8,453,2,,,,,,,0,0,0,0,0,0,0.9,6.6,0.1
0,Blake Whiteheart,CLE,TE,11,454,5,,,,,,,0,0,0,0,0,0,2.8,27.1,0.2
0,Quintin Morris,JAX,TE,7,455,5,,,,,,,0,0,0,0,0,0,2.4,24.2,0.2
0,Donovan Edwards,MIA,RB,6,456,1,,,,,,,0,0,0,1.3,5.8,0,0,0,0
0,Chad Ryland,ARI,K,14,457,115,,,,,,,0,0,0,0,0,0,0,0,0
0,Quinn Ewers,MIA,QB,6,458,20,,,,,,,366.1,1.7,1.6,1.1,4.8,0,0,0,0
0,Tez Johnson,TB,WR,10,459,35,,,304,,,,0,0,0,1.9,7.5,0.1,14.5,172.7,1.6
0,Dillon Gabriel,CLE,QB,11,460,21,,,,,,,293.8,2.4,1.1,0.9,4.4,0,0,0,0
0,Eric Saubert,SEA,TE,11,461,5,,,,,,,0,0,0,0,0,0,3,25.8,0.2
0,J.J. McCarthy,MIN,QB,6,462,14,,,232,,,,174.9,1.4,1,2.6,12.9,0.2,0,0,0
0,D'Ernest Johnson,TEN,RB,9,463,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Lucas Krull,DEN,TE,10,464,5,,,,,,,0,0,0,0,0,0,2.8,24.7,0.2
0,Alexander Mattison,FA,RB,,465,0,,,,,,,0,0,0,0,0,0,0,0,0
0,Marcus Mariota,WAS,QB,7,466,15,,,,,,,222,1.5,1,1,5.4,0,0,0,0
0,Josh Whyle,GB,TE,11,467,5,,,,,,,0,0,0,0,0,0,2.5,22.4,0.2
