"Rk","","Player","Team","Position","ADP","Bye","FPTS","Notes","Grp"
"429","","Konata Mumpfield","LAR","WR","N/A","11","24.0","",""
"430","","Brenen Thompson","LAC","WR","N/A","7","29.0","",""
"431","","Payne Durham","TB","TE","N/A","10","10.0","",""
"432","","Sam Roush","CHI","TE","N/A","10","11.0","",""
"433","","Tip Reiman","ARI","TE","N/A","14","10.0","",""
"434","","Cincinnati Bengals D/ST","CIN","DST","N/A","6","71.0","",""
"435","","Joe Royer","CLE","TE","N/A","11","10.0","",""
"436","","Ian Thomas","LV","TE","N/A","13","10.0","",""
"437","","Blake Whiteheart","CLE","TE","N/A","11","9.0","",""
"438","","Shedeur Sanders","CLE","QB","246.45","11","86.0","",""
"439","","Jack Stoll","CLE","TE","N/A","11","10.0","",""
"440","","Chris Manhertz","NYG","TE","N/A","8","8.0","",""
"441","","Brevyn Spann-Ford","DAL","TE","N/A","14","5.0","",""
"442","","Luke Farrell","SF","TE","249.29","8","5.0","",""
"443","","Max Bredeson","MIN","TE","N/A","6","6.0","",""
"444","","Cole Turner","MIA","TE","N/A","6","7.0","",""
"445","","Kyle Williams","NE","WR","N/A","11","14.0","",""
"446","","Eric Saubert","SEA","TE","N/A","11","5.0","",""
"447","","CJ Dippre","NE","TE","N/A","11","5.0","",""
"448","","Tyler Conklin","DET","TE","N/A","6","5.0","",""
"449","","Quintin Morris","JAX","TE","N/A","7","5.0","",""
"450","","Josh Cuevas","BAL","TE","N/A","13","9.0","",""
"451","","Tanner Koziol","JAX","TE","N/A","7","10.0","",""
"452","","Lucas Krull","DEN","TE","N/A","10","7.0","",""
"453","","Jelani Woods","NYJ","TE","N/A","13","5.0","",""
"454","","Andrew Ogletree","IND","TE","N/A","13","5.0","",""
"455","","Oscar Delp","NO","TE","N/A","8","14.0","",""
"456","","Arizona Cardinals D/ST","ARI","DST","N/A","14","60.0","",""
"457","","Tez Johnson","TB","WR","N/A","10","13.0","",""
"458","","Xavier Smith","LAR","WR","N/A","11","6.0","",""
"459","","Isaiah Bond","CLE","WR","N/A","11","26.0","",""
"460","","Cyrus Allen","KC","WR","171.52","5","34.0","",""
"461","","Mitchell Tinsley","CIN","WR","N/A","6","5.0","",""
"462","","Anthony Gould","IND","WR","N/A","13","10.0","",""
"463","","Greg Dortch","DET","WR","N/A","6","8.0","",""
"464","","Michael Penix Jr.","ATL","QB","251.35","11","80.0","",""
"465","","Mason Tipton","NO","WR","N/A","8","12.0","",""
"466","","Bo Melton","GB","WR","285.85","11","7.0","",""
"467","","Derius Davis","LAC","WR","N/A","7","6.0","",""
"468","","Tyrell Shavers","BUF","WR","N/A","7","7.0","",""
"469","","Ben Skowronek","PIT","WR","N/A","9","8.0","",""
"470","","Justin Watson","HOU","WR","N/A","8","29.0","",""
"471","","Isaiah Williams","NYJ","WR","N/A","13","40.0","",""
"472","","CJ Daniels","LAR","WR","N/A","11","6.0","",""
"473","","Colbie Young","CIN","WR","N/A","6","30.0","",""
"474","","David Moore","CAR","WR","N/A","5","6.0","",""
"475","","Jonathan Mingo","DAL","WR","N/A","14","6.0","",""
"476","","Malachi Corley","CLE","WR","N/A","11","7.0","",""
"477","","Zavion Thomas","CHI","WR","N/A","10","28.0","",""
"478","","Tai Felton","MIN","WR","N/A","6","5.0","",""
"479","","Darius Cooper","PHI","WR","N/A","10","5.0","",""
"480","","Green Bay Packers D/ST","GB","DST","226.40","11","74.0","",""
"481","","Tampa Bay Buccaneers D/ST","TB","DST","N/A","10","73.0","",""
"482","","Spencer Shrader","IND","K","N/A","13","122.0","",""
"483","","Kirk Cousins","LV","QB","220.08","13","45.0","",""
"484","","Matt Gay","LV","K","N/A","13","109.0","",""
"485","","Riley Leonard","IND","QB","N/A","13","39.0","",""
"486","","Ryan Fitzgerald","CAR","K","N/A","5","126.0","",""
"487","","Ty Simpson","LAR","QB","N/A","11","21.0","",""
"488","","J.J. McCarthy","MIN","QB","N/A","6","19.0","",""
"489","","Carson Beck","N/A","QB","Undrafted","","22.0","",""
"490","","Anthony Richardson","IND","QB","N/A","13","17.0","",""
"491","","Chad Ryland","ARI","K","N/A","14","116.0","",""
"492","","Charlie Smyth","NO","K","N/A","8","131.0","",""
"493","","Tennessee Titans D/ST","TEN","DST","N/A","9","73.0","",""
"494","","Ben Sauls","NYG","K","N/A","8","111.0","",""
"495","","Jake Elliott","PHI","K","N/A","10","140.0","",""
"496","","Dallas Cowboys D/ST","DAL","DST","250.23","14","68.0","",""
"497","","Washington Commanders D/ST","WSH","DST","N/A","7","70.0","",""
"498","","New York Giants D/ST","NYG","DST","243.76","8","62.0","",""
"499","","Carolina Panthers D/ST","CAR","DST","N/A","5","69.0","",""
"500","","Andre Szmyt","CLE","K","N/A","11","111.0","",""
"501","","San Francisco 49ers D/ST","SF","DST","240.35","8","60.0","",""
"502","","Las Vegas Raiders D/ST","LV","DST","N/A","13","57.0","",""
"503","","New York Jets D/ST","NYJ","DST","N/A","13","56.0","",""
"504","","Dominic Zvada","NYG","K","N/A","8","103.0","",""
"505","","Andres Borregales","NE","K","N/A","11","132.0","",""
"506","","Riley Patterson","MIA","K","N/A","6","120.0","",""
"507","","Miami Dolphins D/ST","MIA","DST","N/A","6","64.0","",""
"508","","Joey Slye","TEN","K","N/A","9","130.0","",""
"509","","Cade York","NYJ","K","N/A","13","113.0","",""

